NewsID,filename
146,PolitiFact_Fake_26
147,PolitiFact_Fake_27
148,PolitiFact_Fake_28
149,PolitiFact_Fake_29
150,PolitiFact_Fake_30
151,PolitiFact_Fake_31
152,PolitiFact_Fake_32
153,PolitiFact_Fake_33
154,PolitiFact_Fake_34
155,PolitiFact_Fake_35
156,PolitiFact_Fake_36
157,PolitiFact_Fake_37
158,PolitiFact_Fake_38
159,PolitiFact_Fake_39
160,PolitiFact_Fake_40
161,PolitiFact_Fake_41
162,PolitiFact_Fake_42
163,PolitiFact_Fake_43
164,PolitiFact_Fake_44
165,PolitiFact_Fake_45
166,PolitiFact_Fake_46
167,PolitiFact_Fake_47
168,PolitiFact_Fake_48
169,PolitiFact_Fake_49
170,PolitiFact_Fake_50
171,PolitiFact_Fake_51
172,PolitiFact_Fake_52
173,PolitiFact_Fake_53
174,PolitiFact_Fake_54
175,PolitiFact_Fake_55
176,PolitiFact_Fake_56
177,PolitiFact_Fake_57
178,PolitiFact_Fake_58
179,PolitiFact_Fake_59
180,PolitiFact_Fake_60
181,PolitiFact_Fake_61
182,PolitiFact_Fake_62
183,PolitiFact_Fake_63
184,PolitiFact_Fake_64
185,PolitiFact_Fake_65
186,PolitiFact_Fake_66
187,PolitiFact_Fake_67
188,PolitiFact_Fake_68
189,PolitiFact_Fake_69
190,PolitiFact_Fake_70
191,PolitiFact_Fake_71
192,PolitiFact_Fake_72
193,PolitiFact_Fake_73
194,PolitiFact_Fake_74
195,PolitiFact_Fake_75
196,PolitiFact_Fake_76
197,PolitiFact_Fake_77
198,PolitiFact_Fake_78
199,PolitiFact_Fake_79
200,PolitiFact_Fake_80
201,PolitiFact_Fake_81
202,PolitiFact_Fake_82
203,PolitiFact_Fake_83
204,PolitiFact_Fake_84
205,PolitiFact_Fake_85
206,PolitiFact_Fake_86
207,PolitiFact_Fake_87
208,PolitiFact_Fake_88
209,PolitiFact_Fake_89
210,PolitiFact_Fake_90
211,PolitiFact_Fake_91
212,PolitiFact_Fake_92
213,PolitiFact_Fake_93
214,PolitiFact_Fake_94
215,PolitiFact_Fake_95
216,PolitiFact_Fake_96
217,PolitiFact_Fake_97
218,PolitiFact_Fake_98
219,PolitiFact_Fake_99
220,PolitiFact_Fake_100
221,PolitiFact_Fake_101
222,PolitiFact_Fake_102
223,PolitiFact_Fake_103
224,PolitiFact_Fake_104
225,PolitiFact_Fake_105
226,PolitiFact_Fake_106
227,PolitiFact_Fake_107
228,PolitiFact_Fake_108
229,PolitiFact_Fake_109
230,PolitiFact_Fake_110
231,PolitiFact_Fake_111
232,PolitiFact_Fake_112
233,PolitiFact_Fake_113
234,PolitiFact_Fake_114
235,PolitiFact_Fake_115
236,PolitiFact_Fake_116
237,PolitiFact_Fake_117
238,PolitiFact_Fake_118
239,PolitiFact_Fake_119
240,PolitiFact_Fake_120
